wave flambda eflambda flambda0 eflambda0 freq nufnu0 fnu0 fnu0_Jy fnu0_uJy
3389.4346 3.6702e-18 1.974e-18 3.9894306591070125e-18 2.145696725267627e-18 884491053463607.1 1.3521914310278114e-14 1.528779093618552e-29 1.528779093618552e-06 1.528779093618552
3391.4712 4.95379e-18 1.9623e-18 5.384484246241696e-18 2.132907013902503e-18 883959910967252.1 1.826132324798242e-14 2.065854234045569e-29 2.065854234045569e-06 2.065854234045569
3393.5083 2.28128e-18 1.89355e-18 2.4795365867494973e-18 2.058110579954898e-18 883429275832329.6 8.41432798728809e-15 9.524619816748167e-30 9.524619816748168e-07 0.9524619816748168
3395.5459 2.45863e-18 1.84308e-18 2.6722100548977044e-18 2.0031875101096386e-18 882899147380101.8 9.073611895846675e-15 1.0277064965768218e-29 1.0277064965768218e-06 1.027706496576822
3397.584 4.19977e-18 1.79952e-18 4.564450408007129e-18 1.955778482682859e-18 882369524933011.2 1.5508103675038493e-14 1.7575520501136816e-29 1.7575520501136816e-06 1.7575520501136817
3399.6223 2.32577e-18 1.70916e-18 2.527641047760083e-18 1.857510834342873e-18 881840485632771.6 8.593024872360544e-15 9.744420915529356e-30 9.744420915529355e-07 0.9744420915529355
3401.6614 1.60751e-18 1.65688e-18 1.7469804435514955e-18 1.8006338730779913e-18 881311873074727.5 5.942635941384001e-15 6.742943245109461e-30 6.742943245109462e-07 0.6742943245109462
3403.7007 4.61114e-18 1.61951e-18 5.011046952669312e-18 1.7599640545109185e-18 880783842128069.6 1.7056104020533402e-14 1.9364687684692307e-29 1.9364687684692306e-06 1.9364687684692306
3405.7407 1.00577e-18 1.54156e-18 1.0929611369584948e-18 1.675199270498958e-18 880256262609775.4 3.72234222765782e-15 4.228702919558738e-30 4.228702919558738e-07 0.4228702919558738
3407.781 2.07915e-18 1.53467e-18 2.2593203812786054e-18 1.667658037917821e-18 879729237295471.8 7.699269068233987e-15 8.751862211495489e-30 8.75186221149549e-07 0.8751862211495489
3409.822 1.07307e-18 1.47951e-18 1.1660202133730423e-18 1.607666383262555e-18 879202662191750.8 3.975921376004094e-15 4.5221898738256564e-30 4.5221898738256565e-07 0.45221898738256566
3411.8633 1.31701e-18 1.48154e-18 1.4310447064858447e-18 1.6098207108883293e-18 878676639829034.2 4.882528914718326e-15 5.5566845565261966e-30 5.556684556526197e-07 0.5556684556526197
3413.9048 2.93409e-18 1.56589e-18 3.188039827269717e-18 1.7014200945176792e-18 878151195077261.8 1.0883664468907257e-14 1.2393838931062079e-29 1.2393838931062078e-06 1.2393838931062078
3415.9473 -4.00233e-19 1.63281e-18 -4.348599864375207e-19 1.7740759369043736e-18 877626121456850.4 -1.4854587965492854e-15 -1.6925872649317217e-30 -1.6925872649317218e-07 -0.16925872649317217
3417.9897 3.99553e-18 1.72196e-18 4.34107482424246e-18 1.8708800094987515e-18 877101701037893.8 1.483774903619004e-14 1.6916794276686734e-29 1.6916794276686735e-06 1.6916794276686735
3420.033 1.72281e-19 1.6758e-18 1.871744860216312e-19 1.820670902044042e-18 876577676297275.5 6.401429189520174e-16 7.302751784143365e-31 7.302751784143365e-08 0.07302751784143366
3422.0764 3.89304e-18 1.70407e-18 4.2294567970009094e-18 1.851327097606328e-18 876054251740259.2 1.44735242898364e-14 1.6521264820169663e-29 1.6521264820169662e-06 1.6521264820169663
3424.1206 3.34814e-18 1.69374e-18 3.637356469440709e-18 1.8400473536203703e-18 875531247351509.6 1.2454747216555203e-14 1.4225360036241918e-29 1.422536003624192e-06 1.4225360036241919
3426.165 4.65041e-18 1.72177e-18 5.051962263165463e-18 1.8704409000175037e-18 875008815979382.1 1.73088562873783e-14 1.9781350737597768e-29 1.978135073759777e-06 1.978135073759777
3428.21 1.8149e-18 1.64915e-18 1.971551924082462e-18 1.791495319632262e-18 874486854655928.2 6.758894021658737e-15 7.728982986620264e-30 7.728982986620264e-07 0.7728982986620263
3430.2554 1.25518e-18 1.62176e-18 1.3634783960301907e-18 1.7616873464729537e-18 873965413770648.1 4.6770791307659e-15 5.351560893682334e-30 5.351560893682334e-07 0.5351560893682334
