###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57541.444652 -17.146  0.003  -503    2 c  0 2571062.08 236.97569  44.65204  8948.70    34.13 5.12 3.75  23.5 -0.446 19.73 21.84 02a57541o0520c
57545.367220  21.687  3.706     8   28 c  0   0.82 236.97569  44.65204    52.04  8955.01 4.56 3.97 -55.3 -0.399 19.66 21.86 02a57545o0268c
57545.384279 -21.299  1.700   -11   19 c  0   0.92 236.97569  44.65204  1090.49  1652.21 4.91 3.84 -21.9 -0.454 19.63 21.78 02a57545o0303c
57545.391146 -20.214  0.710   -30   21 c  0   1.01 236.97569  44.65204    89.45  8996.49 4.63 3.99 -54.9 -0.404 19.59 21.78 02a57545o0316c
57545.394052  21.263  1.500    11   17 c  0   0.93 236.97569  44.65204  9456.53  8831.84 4.57 3.83  81.5 -0.409 19.62 21.80 02a57545o0322c
57545.401053 -21.873  2.643    -6   17 c  0   0.91 236.97569  44.65204  9513.95  8916.43 4.51 3.72  83.5 -0.414 19.62 21.75 02a57545o0336c
57545.402987 -22.818  6.333    -3   17 c  0   0.98 236.97569  44.65204   105.71  8882.27 4.50 3.87 -52.6 -0.398 19.59 21.72 02a57545o0340c
57545.409489  20.108  0.819    33   27 c  0   0.95 236.97569  44.65204    61.24  8940.08 4.43 3.87 -51.9 -0.402 19.54 21.66 02a57545o0353c
57545.409972 -21.753  2.400    -7   17 c  0   1.03 236.97569  44.65204  9540.47  8796.56 4.52 3.69  83.2 -0.423 19.58 21.70 02a57545o0354c
57545.424057  21.555  2.056     9   18 c  0   1.02 236.97569  44.65204  9498.17  8861.05 4.53 3.75  83.3 -0.419 19.57 21.70 02a57545o0381c
57549.370012  21.487 22.714     9  210 c  0   0.02 236.97569  44.65204  1340.99 10506.23 4.50 4.02 -33.2 -0.378 19.57 21.62 02a57549o0156c
57549.373885 -23.391 12.333    -2   20 c  0   0.81 236.97569  44.65204  7164.48   683.47 5.31 3.80   6.8 -0.450 19.52 21.64 02a57549o0164c
