mjd,instrument,filter,mag,emag,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
58583.5775,Swift+UVOT,B,18.494,0.142,4359.06,18.40264141010823,0.36962694605143276,0.3775000000023283,-16.434025185214246,687745656173578.6,3746364.8847592976,489975.19959678483,1.3603050896561009e-13,1.779099949735926e-14,93.55439164817938,12.235682623295151,0.021462056417709176,0.0028069543945931346,2.5679247117731455e+38,3.358507411595609e+37,2019-04-10T13:51:35.999999950,2019 04 10
58583.5785,Swift+UVOT,UVW2,19.219,0.098,2079.03,19.00899160188303,0.3706060902831391,0.37850000000617,-15.827674993439448,1441982357156943.2,2143236.009163254,193451.3447903205,7.782089949271775e-14,7.024218329336537e-15,112.21636408658271,10.128798903721705,0.053975346236746324,0.004871886843249835,6.458124176464492e+38,5.829189139313182e+37,2019-04-10T13:53:02.400000282,2019 04 10
58583.5823,Swift+UVOT,V,18.457,0.289,5430.09,18.387860480622027,0.37432683834795,0.3823000000047614,-16.44880611470045,552094823474380.7,3797715.664065202,1010871.5377685534,1.378950557622075e-13,3.6704745536376173e-14,76.13114646902582,20.264500007577666,0.0140202365833763,0.0037318902647244644,1.6775145534353592e+38,4.46518872464807e+37,2019-04-10T13:58:30.720000160,2019 04 10
58583.5833,Swift+UVOT,UVM2,18.85,0.093,2255.08,18.644704768400203,0.37530598257253217,0.38330000000132713,-16.191961826922274,1329409413413271.2,2997676.2753170733,256769.4550322127,1.0884562555676293e-13,9.323298912219642e-15,144.70039922401676,12.394481337970506,0.06416641503805487,0.005496249063434781,7.677480649345009e+38,6.576235528114727e+37,2019-04-10T13:59:57.119999863,2019 04 10
58584.2324,LT+IOO,g,18.58,0.01,4795.5,18.499165092090454,1.0108685009338003,1.0324000000036904,-16.337501503232023,625153702429360.8,3427682.611183287,31570.12353610217,1.2445915561206515e-13,1.1463111855958699e-15,77.80610193211449,0.7166206818114482,0.016224815333565738,0.00014943607169459874,1.941291338915717e+38,1.787995399258313e+36,2019-04-11T05:34:39.360000067,2019 04 11
58584.2332,LT+IOO,r,18.68,0.02,6187.58,18.620238305537235,1.0116518163177406,1.0332000000053085,-16.21642828978524,484506799104011.56,3065994.107928361,56477.69862498737,1.1132624605887878e-13,2.0507052370732915e-15,53.93832313425294,0.9935806303202137,0.008717192041840743,0.0001605766115864706,1.0430078285995109e+38,1.921291422407458e+36,2019-04-11T05:35:48.480000207,2019 04 11
58584.2341,LT+IOO,u,18.57,0.02,3479.24,18.46109082354261,1.0125330461220017,1.0341000000044005,-16.375575771779868,861660759246272.2,3550015.985921421,65393.7111125858,1.289010804488068e-13,2.3744456504979903e-15,111.06900284718368,2.045966641997107,0.03192335189500686,0.0005880498735347683,3.819613676263379e+38,7.035988409568193e+36,2019-04-11T05:37:06.240000129,2019 04 11
58584.2355,LT+IOO,i,18.85,0.02,7658.73,18.805798849067724,1.013903848042116,1.0355000000054133,-16.030867746254753,391438865190442.8,2584324.819470814,47605.0224381442,9.383683419498526e-14,1.728538364729016e-15,36.731383890348766,0.6766170959276697,0.0047960149907816,8.834586098839752e-05,5.7384088333214305e+37,1.0570539709689025e+36,2019-04-11T05:39:07.200000216,2019 04 11
58584.2363,LT+IOO,z,19.15,0.07,9669.83,19.120916852299832,1.0146871634189323,1.0362999999997555,-15.715749743022645,310028674754364.9,1933302.876912979,124644.64276942519,7.019822746071027e-14,4.5258469789578285e-15,21.76346342974947,1.4031423410273414,0.0022506562607356563,0.00014510517155186196,2.6928993742096084e+37,1.7361763876766505e+36,2019-04-11T05:40:16.319999727,2019 04 11
58584.4009,P48+ZTF,r,18.695,0.024,6421.81,18.637741463460692,1.175854303342267,1.2009000000034575,-16.198925131861785,466834830055700.75,3016963.4773827656,66689.42523963875,1.0954594386376822e-13,2.421493030451283e-15,51.139862086933576,1.1304372873517885,0.007963465453966027,0.0001760309456916023,9.528248054420995e+37,2.1062017855160936e+36,2019-04-11T09:37:17.760000047,2019 04 11
